CREATION_DATE,PAYMENT_IN_USD,Transaction_Type
2006-11-04 00:00:00,0,product purchase
2006-11-05 00:00:00,0,product purchase
2006-11-06 00:00:00,7,product purchase
2006-11-07 00:00:00,0,product purchase
2006-11-08 00:00:00,15,product purchase
2006-11-09 00:00:00,47,product purchase
2006-11-10 00:00:00,146,product purchase
2006-11-11 00:00:00,1105,product purchase
2006-11-12 00:00:00,916,product purchase
2006-11-13 00:00:00,444,product purchase
2006-11-14 00:00:00,460,product purchase
2006-11-15 00:00:00,440,product purchase
2006-11-16 00:00:00,626,product purchase
2006-11-17 00:00:00,2511,product purchase
2006-11-18 00:00:00,2900,product purchase
2006-11-19 00:00:00,2110,product purchase
2006-11-20 00:00:00,1362,product purchase
2006-11-21 00:00:00,1305,product purchase
2006-11-22 00:00:00,7485,product purchase
2006-11-23 00:00:00,4481,product purchase
2006-11-24 00:00:00,2470,product purchase
2006-11-25 00:00:00,2882,product purchase
2006-11-26 00:00:00,2577,product purchase
2006-11-27 00:00:00,1491,product purchase
2006-11-28 00:00:00,1588,product purchase
2006-11-29 00:00:00,1420,product purchase
2006-11-30 00:00:00,1461,product purchase
2006-12-01 00:00:00,4800,product purchase
2006-12-02 00:00:00,5172,product purchase
2006-12-03 00:00:00,3639,product purchase
2006-12-04 00:00:00,3096,product purchase
2006-12-05 00:00:00,6015,product purchase
2006-12-06 00:00:00,3521,product purchase
2006-12-07 00:00:00,3710,product purchase
2006-12-08 00:00:00,5614,product purchase
2006-12-09 00:00:00,6442,product purchase
2006-12-10 00:00:00,4886,product purchase
2006-12-11 00:00:00,3249,product purchase
2006-12-12 00:00:00,3036,product purchase
2006-12-13 00:00:00,2954,product purchase
2006-12-14 00:00:00,2638,product purchase
2006-12-15 00:00:00,3127,product purchase
2006-12-16 00:00:00,5103,product purchase
2006-12-17 00:00:00,4958,product purchase
2006-12-18 00:00:00,3396,product purchase
2006-12-19 00:00:00,3355,product purchase
2006-12-20 00:00:00,6226,product purchase
2006-12-21 00:00:00,10372,product purchase
2006-12-22 00:00:00,9217,product purchase
2006-12-23 00:00:00,8925,product purchase
2006-12-24 00:00:00,9625,product purchase
2006-12-25 00:00:00,8454,product purchase
2006-12-26 00:00:00,8539,product purchase
2006-12-27 00:00:00,92895,product purchase
2006-12-28 00:00:00,72666,product purchase
2006-12-29 00:00:00,54101,product purchase
2006-12-30 00:00:00,41113,product purchase
2006-12-31 00:00:00,31293,product purchase
2007-01-01 00:00:00,28525,product purchase
2007-01-02 00:00:00,27922,product purchase
2007-01-03 00:00:00,26292,product purchase
2007-01-04 00:00:00,21798,product purchase
2007-01-05 00:00:00,28209,product purchase
2007-01-06 00:00:00,32397,product purchase
2007-01-07 00:00:00,29404,product purchase
2007-01-08 00:00:00,21433,product purchase
2007-01-09 00:00:00,15649,product purchase
2007-01-10 00:00:00,13878,product purchase
2007-01-11 00:00:00,13931,product purchase
2007-01-12 00:00:00,16219,product purchase
2007-01-13 00:00:00,27524,product purchase
2007-01-14 00:00:00,23687,product purchase
2007-01-15 00:00:00,13877,product purchase
2007-01-16 00:00:00,12786,product purchase
2007-01-17 00:00:00,12083,product purchase
2007-01-18 00:00:00,12621,product purchase
2007-01-19 00:00:00,14003,product purchase
2007-01-20 00:00:00,24306,product purchase
2007-01-21 00:00:00,21058,product purchase
2007-01-22 00:00:00,10134,product purchase
2007-01-23 00:00:00,9250,product purchase
2007-01-24 00:00:00,13726,product purchase
2007-01-25 00:00:00,22260,product purchase
2007-01-26 00:00:00,20835,product purchase
2007-01-27 00:00:00,28423,product purchase
2007-01-28 00:00:00,24892,product purchase
2007-01-29 00:00:00,12896,product purchase
2007-01-30 00:00:00,11441,product purchase
2007-01-31 00:00:00,12060,product purchase
2007-02-01 00:00:00,13114,product purchase
2007-02-02 00:00:00,19956,product purchase
2007-02-03 00:00:00,26515,product purchase
2007-02-04 00:00:00,23143,product purchase
2007-02-05 00:00:00,11741,product purchase
2007-02-06 00:00:00,7891,product purchase
2007-02-07 00:00:00,11637,product purchase
2007-02-08 00:00:00,11040,product purchase
2007-02-09 00:00:00,12066,product purchase
2007-02-10 00:00:00,18735,product purchase
2007-02-11 00:00:00,18115,product purchase
2007-02-12 00:00:00,14331,product purchase
2007-02-13 00:00:00,9121,product purchase
2007-02-14 00:00:00,9482,product purchase
2007-02-15 00:00:00,8351,product purchase
2007-02-16 00:00:00,10061,product purchase
2007-02-17 00:00:00,15531,product purchase
2007-02-18 00:00:00,14465,product purchase
2007-02-19 00:00:00,9187,product purchase
2007-02-20 00:00:00,7534,product purchase
2007-02-21 00:00:00,7039,product purchase
2007-02-22 00:00:00,31271,product purchase
2007-02-23 00:00:00,70558,product purchase
2007-02-24 00:00:00,45303,product purchase
2007-02-25 00:00:00,28802,product purchase
2007-02-26 00:00:00,16835,product purchase
2007-02-27 00:00:00,17857,product purchase
2007-02-28 00:00:00,15128,product purchase
2007-03-01 00:00:00,23964,product purchase
2007-03-02 00:00:00,182606,product purchase
2007-03-03 00:00:00,100654,product purchase
2007-03-04 00:00:00,67200,product purchase
2007-03-05 00:00:00,39011,product purchase
